product_group,products,average_latest_price,average_yoy_growth,median_yoy_growth,highest_growth
Vegetables,14,4.513571428571429,5.896749141348564,5.603138439795807,31.769722814498923
Meat and seafood,18,14.447777777777778,4.974493813830262,4.9100837506329205,29.28985065528802
Fruit,9,4.835555555555556,4.488948506931279,3.6184210526315703,17.15610510046368
Dairy and eggs,11,5.17,4.042618187364261,3.9215686274509887,7.927927927927936
Other grocery items,49,5.365714285714286,3.873491697016305,2.7355623100303816,20.69408740359897
Grains and bakery,9,4.595555555555555,1.4538550101991417,0.7246376811594235,6.153846153846154
