geo,period,year,month,uom,retail_sales,industry,sales_type,adjustment,retail_sales_yoy_change_percent
Prince Edward Island,2026-03-01,2026,3,Dollars,323166.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Quebec,2025-11-01,2025,11,Dollars,15648579.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Quebec,2025-12-01,2025,12,Dollars,15748859.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Quebec,2026-01-01,2026,1,Dollars,15793196.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Quebec,2026-02-01,2026,2,Dollars,16087599.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Quebec,2026-03-01,2026,3,Dollars,15954373.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Saskatchewan,2025-11-01,2025,11,Dollars,2207896.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Saskatchewan,2025-12-01,2025,12,Dollars,2186340.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Saskatchewan,2026-01-01,2026,1,Dollars,2235786.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Saskatchewan,2026-02-01,2026,2,Dollars,2262779.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Saskatchewan,2026-03-01,2026,3,Dollars,2268392.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Yukon,2025-11-01,2025,11,Dollars,99650.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Yukon,2025-12-01,2025,12,Dollars,100400.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Yukon,2026-01-01,2026,1,Dollars,102929.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Yukon,2026-02-01,2026,2,Dollars,104285.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
Yukon,2026-03-01,2026,3,Dollars,107451.0,Retail trade [44-45],Total retail sales,Seasonally adjusted,
