"Food insecurity by selected demographic characteristics 1 2 3"
"Frequency: Annual"
"Table: 13-10-0835-01"
"Release date: 2026-04-29"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

"Geography","Canada",,,
"Household food security status","Food insecure 4",,"Food insecure, moderate or severe",
"Statistics","Percentage of persons",,"Percentage of persons",
"Demographic characteristics","2023","2024","2023","2024"
,"Percent",,,
"All persons","25.7A","24.0A","19.4A","18.4B"
"Persons under 18 years","33.0B","30.8B","25.0B","24.0B"
"Persons 18 to 24 years","28.5B","26.7C","22.3C","20.7C"
"Persons 25 to 34 years","30.3B","26.8B","22.7B","20.1B"
"Persons 35 to 44 years","30.5B","28.4B","23.3B","22.1B"
"Persons 45 to 54 years","25.9B","26.0B","19.8B","20.3B"
"Persons 55 to 64 years","20.8B","20.3B","15.3B","15.4C"
"Persons 65 years and over","12.8B","11.9B","9.3B","8.4C"
"Men+ 5 6","25.2A","23.9A","19.1B","18.2B"
"Women+ 5 6","26.1A","24.2A","19.7A","18.7B"
"Visible minority population 7 8","32.4B","30.4B","25.0B","23.5B"
"Indigenous population aged 15 years and over 9 10","40.0C","34.7C","34.5C","29.7C"
"Recent immigrants (10 years or less) aged 15 years and over 10 11","34.7C","30.8C","25.4C","22.8C"

Symbol legend:
A, data quality: excellent
B, data quality: very good
C, data quality: good




Footnotes:
1,"Source: Centre for Housing and Income Statistics, Statistics Canada."
2,"Data quality indicators are based on the coefficient of variation (CV) and number of observations. Quality indicators indicate the following: A - Excellent (CV between 0% and 2%); B - Very good (CV between 2% and 4%); C - Good (CV between 4% and 8%); D - Acceptable (CV between 8% and 16%); E - Use with caution (CV between 16% and 33.3%)."
3,"The Canadian Income Survey (CIS) periodically revises its estimates to incorporate data from the most recent Census of Population to ensure the continued accuracy and quality of income statistics. With the release of the 2024 CIS data, Statistics Canada revised estimates from 2018 to 2023 based on population counts from the 2021 Census."
4,"Includes marginal, moderate and severe food insecurity."
5,"This category is based on gender which refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman). Some people may not identify with a specific gender and a person's gender may change over time. Gender includes the following concepts: gender identity, which refers to the gender that a person feels internally and individually; gender expression, which refers to the way a person presents their gender, regardless of their gender identity, through body language, aesthetic choices or accessories (for example, clothes, hairstyle and makeup), which may have traditionally been associated with a specific gender. A person's gender may differ from their sex at birth, and from what is indicated on their current identification or legal documents such as their birth certificate, passport or driver's license. Gender is the concept used in the CIS beginning with the 2021 reference year. Prior to 2021, only information on the sex of the person (male or female) as declared by the respondent or recorded by the interviewer was collected. The sex variable prior to 2021 and the two-category gender variable since 2021 are combined in this table. Although sex and gender refer to two different concepts, the introduction of gender is not expected to have a significant impact on data analysis and historical comparability, given the small size of the transgender and non-binary populations."
6,"Given that the non-binary population is small, data aggregation to a two-category gender variable is necessary to protect the confidentiality of responses provided. Individuals in the category "non-binary persons" are distributed into the other two gender categories and are denoted by the "+" symbol. The category "Men+" includes men, as well as some non-binary persons, while the category "Women+" includes women, as well as some non-binary persons."
7,"According to the Employment Equity Act, visible minorities are "persons, other than Aboriginal peoples, who are non-Caucasian in race or non-white in colour.""
8,"This category is not available for the territories."
9,"Includes persons who reported having an Indigenous identity, that is, First Nations (North American Indian), Métis or Inuk (Inuit), or those who reported more than one identity. Excluded from the survey’s coverage are persons living on reserves and other Indigenous settlements in the provinces. Data on persons reporting multiple Indigenous identities are included in the Indigenous total but are not shown separately because of small sample sizes."
10,"Persons aged 16 years and over for years prior to 2022."
11,"Refers to people who are, or have been, landed immigrants in Canada. A landed immigrant is a person who has been granted the right to live in Canada permanently by immigration authorities. Canadian citizens by birth and non-permanent residents (persons from another country who live in Canada and have a work or study permit, or are claiming refugee status, as well as family members living here with them) are not landed immigrants."



"How to cite: Statistics Canada. Table 13-10-0835-01  Food insecurity by selected demographic characteristics"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310083501
